state,Pollster,Obama,McCain,middate
AL,SurveyUSA-2,36,61,10/27/08
AL,Capital Survey-2,34,54,10/15/08
AL,SurveyUSA-2,35,62,10/8/08
AL,Capital Survey-2,35,55,10/6/08
AL,Rasmussen-1,39,60,9/22/08
AL,SurveyUSA-2,34,64,9/16/08
AL,ARG-4,36,58,9/14/08
AL,U. of South Alabama-8,25,52,9/11/08
AL,Capital Survey-7,35,55,9/6/08
AL,Capital Survey-7,34,47,8/1/08
AL,Rasmussen-1,37,55,7/31/08
AL,Rasmussen-1,36,51,6/26/08
AL,Capital Survey-2,36,49,6/25/08
AL,Capital Survey-5,33,57,5/31/08
AL,Rasmussen-1,32,60,5/27/08
AL,SurveyUSA-3,34,57,5/17/08
AL,Capital Survey-9,36,55,4/20/08
AL,SurveyUSA-3,32,64,4/12/08
AL,Rasmussen-1,37,55,4/2/08
AL,U. of South Alabama-4,30,57,3/25/08
AL,SurveyUSA-3,35,62,3/15/08
AL,SurveyUSA-3,40,54,2/27/08
AL,SurveyUSA-2,29,63,1/16/08
AL,Election 2004-1,37,63,1/1/08
AK,Research 2000-3,39,58,10/29/08
AK,Rasmussen-1,41,57,10/28/08
AK,Ivan Moore Research-3,42,53,10/18/08
AK,Research 2000-3,38,57,10/15/08
AK,Rasmussen-1,40,55,10/6/08
AK,Ivan Moore Research-4,38,55,10/4/08
AK,Fairleigh Dickinson U.-5,37,55,9/19/08
AK,Research 2000-3,38,55,9/16/08
AK,ARG-3,39,55,9/10/08
AK,Rasmussen-1,33,64,9/9/08
AK,Ivan Moore Research-4,35,54,8/31/08
AK,Rasmussen-1,39,44,7/30/08
AK,Rasmussen-1,40,45,7/17/08
AK,Research 2000-3,41,51,7/15/08
AK,Rasmussen-1,41,45,6/16/08
AK,Rasmussen-1,41,50,5/14/08
AK,Research 2000-3,42,49,5/13/08
AK,Rasmussen-1,43,48,4/7/08
AK,SurveyUSA-3,43,48,2/27/08
AK,Election 2004-1,35,62,1/1/08
AZ,ARG-3,46,50,10/29/08
AZ,Research 2000-3,47,48,10/29/08
AZ,Mason-Dixon-2,44,48,10/27/08
AZ,Rasmussen-1,46,51,10/26/08
AZ,Opinion Research-6,46,53,10/25/08
AZ,Arizona State U.-4,44,46,10/24/08
AZ,Northern Arizona U.-10,41,49,10/22/08
AZ,Zimmerman-4,42,44,10/17/08
AZ,Rasmussen-1,38,59,9/29/08
AZ,Arizona State U.-4,38,45,9/26/08
AZ,ARG-4,39,56,9/12/08
AZ,Arizona State U.-3,30,40,8/15/08
AZ,Mason-Dixon-3,41,47,8/14/08
AZ,Rasmussen-1,36,52,7/30/08
AZ,Rasmussen-1,40,49,6/25/08
AZ,Arizona State U.-2,28,38,6/20/08
AZ,Rocky Mtn Poll-9,39,50,5/16/08
AZ,Arizona State U.-4,38,47,4/25/08
AZ,Rasmussen-1,37,57,4/15/08
AZ,Northern Arizona U.-10,33,55,4/3/08
AZ,SurveyUSA-3,39,51,2/27/08
AZ,Arizona State U.-4,38,49,2/22/08
AZ,Election 2004-1,45,55,1/1/08
AR,ARG-4,44,51,10/29/08
AR,Rasmussen-1,44,54,10/27/08
AR,Research 2000-2,41,52,10/21/08
AR,U. of Arkansas-21,36,51,10/11/08
AR,Rasmussen-1,42,51,9/22/08
AR,ARG-3,41,53,9/21/08
AR,Rasmussen-1,37,47,7/14/08
AR,Rasmussen-1,41,45,6/16/08
AR,Rasmussen-1,39,48,6/12/08
AR,Rasmussen-1,33,57,5/12/08
AR,Rasmussen-1,30,59,3/18/08
AR,Opinion Res.-6,27,43,3/8/08
AR,SurveyUSA-3,33,53,2/27/08
AR,Election 2004-1,45,54,1/1/08
CA,SurveyUSA-3,60,36,10/30/08
CA,Rasmussen-1,61,34,10/25/08
CA,Field Poll-11,55,33,10/23/08
CA,SurveyUSA-2,59,35,10/15/08
CA,Public Policy Inst. of Calif.-8,56,33,10/15/08
CA,Rasmussen-1,56,40,10/9/08
CA,SurveyUSA-2,55,39,10/4/08
CA,SurveyUSA-2,53,43,9/23/08
CA,Rasmussen-1,56,39,9/22/08
CA,ARG-3,53,39,9/19/08
CA,Public Policy Inst. of Calif.-8,50,40,9/12/08
CA,Field Poll-10,52,36,9/9/08
CA,Rasmussen-1,51,37,8/20/08
CA,Pub. Policy Inst. of Calif.-8,48,39,8/15/08
CA,Rasmussen-1,50,38,7/24/08
CA,Pub. Policy Inst. of Calif.-15,50,35,7/15/08
CA,Field Poll-7,54,30,7/11/08
CA,Rasmussen-1,58,30,6/23/08
CA,SurveyUSA-3,53,41,6/18/08
CA,Field Poll-12,52,35,5/21/08
CA,LA Times-2,47,40,5/20/08
CA,Rasmussen-1,52,38,5/20/08
CA,SurveyUSA-3,49,41,5/17/08
CA,Rasmussen-1,50,43,4/16/08
CA,SurveyUSA-3,50,43,4/12/08
CA,SurveyUSA-3,54,40,3/15/08
CA,Public Policy Inst. of Calif.-8,49,40,3/14/08
CA,Rasmussen-1,53,38,3/12/08
CA,SurveyUSA-3,51,40,2/27/08
CA,SurveyUSA-3,61,34,2/16/08
CA,Election 2004-1,55,44,1/1/08
CO,ARG-3,52,45,10/29/08
CO,Mason-Dixon-2,49,44,10/28/08
CO,Marist Coll.-2,51,45,10/27/08
CO,Rasmussen-1,50,46,10/26/08
CO,Insider Advantage-1,53,45,10/26/08
CO,Opinion Research-6,53,45,10/25/08
CO,Financial Dynamics-5,48,44,10/25/08
CO,GfK Roper-5,50,41,10/24/08
CO,Public Opinion Strat.-3,52,40,10/22/08
CO,Insider Advantage-1,51,46,10/20/08
CO,Rasmussen-1,51,46,10/19/08
CO,Rasmussen-1,52,45,10/16/08
CO,Opinion Research-4,51,47,10/12/08
CO,Suffolk U.-4,47,43,10/11/08
CO,Quinnipiac U.-5,52,43,10/10/08
CO,Insider Advantage-1,51,45,10/6/08
CO,Rasmussen-1,51,45,10/5/08
CO,Mason-Dixon-3,44,44,9/30/08
CO,Rasmussen-1,49,48,9/28/08
CO,ARG-3,45,48,9/24/08
CO,Insider Advantage-1,50,41,9/23/08
CO,Rasmussen-1,50,47,9/23/08
CO,Opinion Research-3,51,47,9/22/08
CO,Ciruli Assoc.-5,44,43,9/21/08
CO,Quinnipiac U.-8,49,45,9/17/08
CO,Insider Advantage-1,51,41,9/17/08
CO,Rasmussen-1,46,48,9/14/08
CO,Financial Dynamics-5,45,44,9/13/08
CO,ARG-4,44,46,9/11/08
CO,Insider Advantage-2,49,46,9/9/08
CO,Rasmussen-1,49,46,9/7/08
CO,Opinion Research-3,46,47,8/25/08
CO,Suffolk U.-4,44,39,8/22/08
CO,Quinnipiac U.-7,46,47,8/18/08
CO,Mason-Dixon-3,46,43,8/14/08
CO,Rasmussen-1,45,47,8/13/08
CO,Rocky Mtn Poll-3,41,44,8/12/08
CO,Rasmussen-1,49,42,7/21/08
CO,Quinnipiac U.-9,44,46,7/18/08
CO,Quinnipiac U.-8,49,44,6/20/08
CO,Rasmussen-1,43,41,6/17/08
CO,Rasmussen-1,48,42,5/19/08
CO,Rasmussen-1,46,43,4/16/08
CO,Rasmussen-1,46,46,3/17/08
CO,SurveyUSA-3,50,41,2/27/08
CO,Election 2004-1,47,52,1/1/08
CT,U. of Connecticut-5,56,31,10/20/08
CT,Rasmussen-1,56,39,10/14/08
CT,SurveyUSA-2,54,38,9/24/08
CT,Pulsar Research-5,49,35,9/21/08
CT,ARG-3,54,39,9/18/08
CT,Rasmussen-1,53,41,9/16/08
CT,Rasmussen-1,51,36,7/31/08
CT,Research 2000-3,57,35,7/1/08
CT,Rasmussen-1,52,35,6/30/08
CT,Quinnipiac U.-4,56,35,6/27/08
CT,Rasmussen-1,47,44,5/29/08
CT,Quinnipiac U.-6,52,35,3/21/08
CT,Rasmussen-1,50,38,3/11/08
CT,SurveyUSA-3,55,34,2/27/08
CT,Election 2004-1,54,44,1/1/08
DC,ARG-3,82,13,9/12/08
DC,Election 2004-1,90,9,1/1/08
DE,SurveyUSA-2,63,33,10/27/08
DE,Rasmussen-1,56,41,10/10/08
DE,West Chester U.-3,56,38,10/7/08
DE,SurveyUSA-2,57,37,9/22/08
DE,Fairleigh Dickinson U.-5,56,36,9/19/08
DE,ARG-3,51,40,9/14/08
DE,Rasmussen-1,55,43,9/13/08
DE,SurveyUSA-3,50,41,2/27/08
DE,Election 2004-1,53,46,1/1/08
FL,Zogby-4,48,46,10/31/08
FL,ARG-3,50,46,10/30/08
FL,Mason-Dixon-2,47,45,10/29/08
FL,Datamar-2,47,47,10/29/08
FL,Rasmussen-1,51,47,10/26/08
FL,LA Times-3,50,43,10/26/08
FL,Datamar-2,49,44,10/25/08
FL,Opinion Research-6,51,47,10/25/08
FL,Financial Dynamics-5,45,44,10/25/08
FL,Zogby-4,47,47,10/24/08
FL,Suffolk U.-4,49,44,10/24/08
FL,GfK Roper-5,45,43,10/24/08
FL,Quinnipiac U.-5,47,45,10/24/08
FL,Insider Advantage-1,48,47,10/22/08
FL,Polling Company-3,49,42,10/21/08
FL,Mason-Dixon-2,45,46,10/20/08
FL,Rasmussen-1,48,49,10/19/08
FL,Quinnipiac U.-6,49,44,10/18/08
FL,SurveyUSA-2,47,49,10/16/08
FL,Research 2000-3,49,45,10/14/08
FL,Insider Advantage-1,48,44,10/13/08
FL,Datamar-2,47,42,10/12/08
FL,Opinion Research-4,51,46,10/12/08
FL,Rasmussen-1,51,46,10/12/08
FL,Rasmussen-1,50,47,10/8/08
FL,Research 2000-3,49,44,10/7/08
FL,Rasmussen-1,52,45,10/5/08
FL,Mason-Dixon-3,48,46,10/5/08
FL,Insider Advantage-1,49,46,9/30/08
FL,Opinion Research-3,51,47,9/29/08
FL,Suffolk U.-4,46,42,9/28/08
FL,Rasmussen-1,47,47,9/28/08
FL,Quinnipiac U.-3,51,43,9/28/08
FL,SurveyUSA-2,47,48,9/27/08
FL,Rasmussen-1,47,48,9/24/08
FL,ARG-3,47,46,9/24/08
FL,Rasmussen-1,46,51,9/21/08
FL,Mason-Dixon-3,47,45,9/17/08
FL,SurveyUSA-2,45,51,9/16/08
FL,Research 2000-4,45,46,9/16/08
FL,Schroth/Polling Co.-4,45,47,9/15/08
FL,ARG-4,46,46,9/15/08
FL,Opinion Research-3,48,48,9/15/08
FL,Rasmussen-1,44,49,9/14/08
FL,Financial Dynamics-5,44,44,9/13/08
FL,Research 2000-7,45,46,9/12/08
FL,Insider Advantage-2,42,50,9/9/08
FL,Rasmussen-1,48,48,9/7/08
FL,Quinnipiac U.-5,43,50,9/7/08
FL,Mason-Dixon-2,45,44,8/25/08
FL,Quinnipiac U.-8,43,47,8/20/08
FL,ARG-3,46,47,8/19/08
FL,Rasmussen-1,43,46,8/18/08
FL,Insider Advantage-1,44,48,8/11/08
FL,SurveyUSA-3,44,50,8/2/08
FL,Quinnipiac U.-7,46,44,7/26/08
FL,Rasmussen-1,46,45,7/22/08
FL,ARG-3,45,47,7/20/08
FL,Rasmussen-1,41,48,6/26/08
FL,Rasmussen-1,39,47,6/18/08
FL,ARG-5,49,44,6/15/08
FL,Quinnipiac U.-8,47,43,6/12/08
FL,Rasmussen-1,40,50,5/19/08
FL,Quinnipiac U.-8,41,45,5/16/08
FL,Quinnipiac U.-7,43,44,4/26/08
FL,Rasmussen-1,38,53,4/10/08
FL,Quinnipiac U.-8,37,46,3/27/08
FL,Rasmussen-1,43,47,3/12/08
FL,SurveyUSA-3,45,47,2/27/08
FL,Rasmussen-1,37,53,2/16/08
FL,Election 2004-1,47,52,1/1/08
GA,Rasmussen-1,47,52,10/30/08
GA,Research 2000-3,44,47,10/29/08
GA,Insider Advantage-1,47,48,10/27/08
GA,Opinion Research-6,47,52,10/25/08
GA,Insider Advantage-1,48,47,10/23/08
GA,Mason-Dixon-2,43,49,10/22/08
GA,Rasmussen-1,46,51,10/22/08
GA,Research 2000-2,43,49,10/14/08
GA,Opinion Research-4,45,53,10/12/08
GA,SurveyUSA-2,43,51,10/11/08
GA,Insider Advantage-1,46,49,10/9/08
GA,Rasmussen-1,45,54,10/7/08
GA,Insider Advantage-1,44,50,9/30/08
GA,Research 2000-3,43,50,9/30/08
GA,SurveyUSA-2,44,52,9/28/08
GA,ARG-4,39,57,9/19/08
GA,Insider Advantage-1,43,51,9/17/08
GA,Rasmussen-1,43,54,9/16/08
GA,SurveyUSA-3,41,57,9/15/08
GA,Insider Advantage-1,38,56,9/10/08
GA,Rasmussen-1,43,50,8/14/08
GA,Rasmussen-1,39,48,7/17/08
GA,Insider Advantage-1,44,46,7/2/08
GA,Rasmussen-1,43,53,6/26/08
GA,Insider Advantage-1,43,44,6/18/08
GA,Rasmussen-1,41,51,6/4/08
GA,Rasmussen-1,39,53,5/6/08
GA,Rasmussen-1,40,53,3/20/08
GA,SurveyUSA-3,41,54,2/27/08
GA,Election 2004-1,41,58,1/1/08
HI,Rasmussen-1,68,27,9/20/08
HI,ARG-6,63,32,9/9/08
HI,SurveyUSA-3,61,31,2/27/08
HI,Election 2004-1,54,45,1/1/08
ID,Research 2000-2,33,62,9/16/08
ID,Rasmussen-1,29,68,9/9/08
ID,ARG-3,25,68,9/9/08
ID,Greg Smith-5,29,52,8/20/08
ID,Research 2000-3,37,53,7/29/08
ID,SurveyUSA-3,39,52,2/27/08
ID,Election 2004-1,30,69,1/1/08
IL,Rasmussen-1,60,38,11/1/08
IL,Research 2000-4,59,35,10/21/08
IL,U. of Wisconsin-4,61,32,10/20/08
IL,Market Shares-3,56,32,10/17/08
IL,Rasmussen-1,56,39,10/13/08
IL,Rasmussen-1,56,40,9/17/08
IL,Research 2000-4,56,36,9/16/08
IL,U. of Wisconsin-4,53,37,9/15/08
IL,ARG-4,51,45,9/14/08
IL,Rasmussen-1,53,38,8/12/08
IL,Rasmussen-1,50,37,7/8/08
IL,SurveyUSA-3,60,31,2/27/08
IL,Election 2004-1,55,45,1/1/08
IN,Zogby-4,44,49,10/31/08
IN,ARG-4,48,48,10/29/08
IN,Rasmussen-2,46,49,10/28/08
IN,SurveyUSA-4,47,47,10/28/08
IN,Selzer-3,46,45,10/27/08
IN,Zogby-4,44,50,10/24/08
IN,Research 2000-3,48,47,10/24/08
IN,Howey-Gauge-2,45,47,10/23/08
IN,SurveyUSA-2,49,45,10/21/08
IN,U. of Wisconsin-4,51,41,10/20/08
IN,Rasmussen-1,43,50,10/7/08
IN,Opinion Research-4,46,51,10/4/08
IN,Research 2000-5,46,46,10/1/08
IN,Research 2000-3,45,46,9/29/08
IN,SurveyUSA-2,45,48,9/28/08
IN,Rasmussen-2,47,49,9/17/08
IN,ARG-4,44,47,9/16/08
IN,U. of Wisconsin-4,43,47,9/15/08
IN,Opinion Research-3,45,51,9/15/08
IN,Selzer-3,47,44,9/15/08
IN,Howey-Gauge-2,43,45,8/29/08
IN,Rasmussen-3,42,46,8/20/08
IN,SurveyUSA-3,44,50,8/17/08
IN,SurveyUSA-3,48,47,6/22/08
IN,Ind. Legis. Insight-6,38,47,5/29/08
IN,Research 2000-4,43,51,4/22/08
IN,Selzer-4,49,41,4/21/08
IN,IPFW U.-3,44,51,4/15/08
IN,SurveyUSA-3,41,50,2/27/08
IN,SurveyUSA-2,40,50,2/3/08
IN,Election 2004-1,39,60,1/1/08
IA,Selzer-4,54,37,10/29/08
IA,SurveyUSA-2,55,40,10/28/08
IA,Research 2000-3,53,39,10/28/08
IA,Marist Coll.-2,52,42,10/23/08
IA,Rasmussen-1,52,44,10/23/08
IA,Mason-Dixon-2,51,40,10/22/08
IA,U. of Wisconsin-4,52,39,10/20/08
IA,Research 2000-4,54,39,10/20/08
IA,SurveyUSA-2,54,41,10/8/08
IA,Research 2000-2,55,39,9/29/08
IA,Rasmussen-1,51,43,9/25/08
IA,Marist Coll.-4,51,41,9/19/08
IA,ARG-4,51,44,9/18/08
IA,SurveyUSA-2,54,43,9/17/08
IA,Research 2000-3,53,39,9/16/08
IA,U. of Wisconsin-4,45,45,9/15/08
IA,Selzer-3,52,40,9/9/08
IA,Opinion Research-3,55,40,9/1/08
IA,U. of Iowa-10,50,43,8/8/08
IA,Rasmussen-1,46,41,8/7/08
IA,Rasmussen-1,51,41,7/10/08
IA,SurveyUSA-4,49,45,6/14/08
IA,Rasmussen-1,45,38,6/10/08
IA,SurveyUSA-2,47,38,5/21/08
IA,Rasmussen-1,44,42,5/13/08
IA,Research 2000-3,49,41,4/22/08
IA,SurveyUSA-3,49,42,4/12/08
IA,Rasmussen-1,46,42,3/31/08
IA,SurveyUSA-3,50,44,3/15/08
IA,SurveyUSA-3,50,41,2/27/08
IA,Rasmussen-1,44,41,2/18/08
IA,SurveyUSA-3,51,41,2/16/08
IA,Election 2004-1,49,50,1/1/08
KS,SurveyUSA-2,37,58,10/27/08
KS,SurveyUSA-2,41,53,10/21/08
KS,Rasmussen-1,41,54,10/13/08
KS,SurveyUSA-2,41,53,9/21/08
KS,Rasmussen-1,38,58,9/18/08
KS,ARG-4,31,63,9/8/08
KS,SurveyUSA-3,35,58,8/19/08
KS,Rasmussen-1,37,52,8/11/08
KS,Rasmussen-1,32,52,7/14/08
KS,Rasmussen-1,37,47,6/11/08
KS,Research 2000-3,40,51,6/3/08
KS,SurveyUSA-3,39,49,5/17/08
KS,Rasmussen-1,34,55,5/13/08
KS,SurveyUSA-3,37,54,4/12/08
KS,SurveyUSA-3,39,51,3/15/08
KS,SurveyUSA-3,41,50,2/27/08
KS,SurveyUSA-3,44,50,2/16/08
KS,Election 2004-1,37,62,1/1/08
KY,SurveyUSA-4,40,56,10/30/08
KY,Rasmussen-1,43,55,10/29/08
KY,Research 2000-3,39,56,10/28/08
KY,Mason-Dixon-3,42,51,10/28/08
KY,Rasmussen-1,44,52,10/21/08
KY,Research 2000-3,39,55,10/20/08
KY,SurveyUSA-3,41,54,10/19/08
KY,Research 2000-3,39,53,10/15/08
KY,Rasmussen-1,42,52,9/30/08
KY,Mason-Dixon-4,41,53,9/23/08
KY,SurveyUSA-2,38,57,9/21/08
KY,Research 2000-3,37,55,9/16/08
KY,ARG-5,37,57,9/10/08
KY,SurveyUSA-3,37,55,8/10/08
KY,Rasmussen-1,39,49,7/29/08
KY,Research 2000-3,35,56,7/29/08
KY,Rasmussen-10,39,49,7/24/08
KY,Rasmussen-1,35,51,6/25/08
KY,SurveyUSA-4,41,53,6/14/08
KY,SurveyUSA-3,32,56,5/17/08
KY,Research 2000-3,33,58,5/8/08
KY,SurveyUSA-3,29,63,4/12/08
KY,SurveyUSA-3,28,64,3/15/08
KY,SurveyUSA-3,33,54,2/27/08
KY,SurveyUSA-2,32,61,2/3/08
KY,Election 2004-1,40,60,1/1/08
LA,Loyola U.-3,40,43,10/25/08
LA,Southeastern La. U.-4,38,51,10/21/08
LA,Rasmussen-1,41,57,10/21/08
LA,Rasmussen-1,40,55,9/25/08
LA,ARG-4,43,50,9/10/08
LA,Rasmussen-1,38,55,8/17/08
LA,Rasmussen-1,37,56,7/9/08
LA,Opinion Res.-3,36,52,6/27/08
LA,Rasmussen-1,41,50,5/28/08
LA,Rasmussen-1,41,52,4/9/08
LA,Opinion Res.-15,35,51,4/2/08
LA,SurveyUSA-3,39,54,2/27/08
LA,Election 2004-1,42,57,1/1/08
ME,Rasmussen-1,56,43,11/1/08
ME,SurveyUSA-2,54,39,10/19/08
ME,Critical Insights-4,56,35,10/17/08
ME,Research 2000-2,53,38,10/14/08
ME,Pan Atlantic SMS-4,51,39,10/14/08
ME,Rasmussen-1,51,46,10/2/08
ME,SurveyUSA-2,49,44,9/22/08
ME,Rasmussen-1,50,46,9/17/08
ME,ARG-3,51,41,9/9/08
ME,Research 2000-3,52,38,9/9/08
ME,Rasmussen-1,49,36,8/12/08
ME,Rasmussen-1,46,36,7/17/08
ME,Rasmussen-1,55,33,6/16/08
ME,Pan Atlantic SMS-9,37,26,6/14/08
