state,dem_prob,margin
AK,0.11,-0.78
AL,0.02,-0.96
AR,0.02,-0.96
AZ,0.52,0.04
CA,0.94,0.88
CO,0.9,0.8
CT,0.93,0.86
DC,0.96,0.92
DE,0.94,0.88
FL,0.43,-0.14
GA,0.4,-0.2
HI,0.94,0.88
IA,0.26,-0.48
ID,0.02,-0.96
IL,0.94,0.88
IN,0.05,-0.9
KS,0.04,-0.92
KY,0.03,-0.94
LA,0.02,-0.96
MA,0.95,0.9
MD,0.99,0.98
ME,0.87,0.74
MI,0.69,0.38
MN,0.74,0.48
MO,0.06,-0.88
MS,0.06,-0.88
MT,0.14,-0.72
NC,0.46,-0.08
ND,0.03,-0.94
NE,0.04,-0.92
NH,0.73,0.46
NJ,0.94,0.88
NM,0.88,0.76
NV,0.74,0.48
NY,0.93,0.86
OH,0.29,-0.42
OK,0.03,-0.94
OR,0.92,0.84
PA,0.61,0.22
RI,0.95,0.9
SC,0.25,-0.5
SD,0.05,-0.9
TN,0.04,-0.92
TX,0.3,-0.4
UT,0.06,-0.88
VA,0.89,0.78
VT,0.95,0.9
WA,0.94,0.88
WI,0.7,0.4
WV,0.03,-0.94
WY,0.02,-0.96
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,