"","L","US","rep","dem","female","employed","nonhispanic_white","bachelors","above_median_income","zip"
"1862",6,5,0,0,0,1,1,0,1,28277
"1863",0,0,1,0,1,0,1,0,0,92320
"1864",10,10,NA,NA,1,1,1,0,NA,97233
"1865",3,3,0,1,1,1,1,1,1,32504
"1866",1,1,1,0,1,0,1,0,0,82901
"1867",4,4,0,0,0,1,1,0,1,33772
"1868",9,10,0,0,0,1,1,0,0,81143
"1869",4,6,1,0,1,0,1,1,1,34221
"1870",2,2,0,0,1,1,1,0,0,85933
"1871",2,2,0,0,1,1,1,0,0,97707
"1872",0,2,0,1,0,1,1,0,0,81501
"1873",4,2,1,0,1,1,1,1,1,18466
"1874",10,9,0,1,0,1,0,1,1,11213
"1875",0,0,1,0,0,1,1,0,1,4901
"1876",1,5,0,1,0,1,0,0,0,11428
"1877",10,10,0,1,1,0,1,0,0,91381
"1878",5,5,NA,NA,1,1,1,1,0,59865
"1879",8,7,0,1,0,1,1,0,0,30705
"1880",1,1,0,0,1,1,0,1,1,1701
"1881",8,8,0,0,1,0,1,1,1,68144
"1882",4,6,0,1,1,1,1,1,0,19342
"1883",8,9,0,1,0,1,0,1,1,94587
"1884",0,0,0,0,0,1,1,0,1,78621
"1885",0,0,0,0,0,1,1,0,NA,24179
"1886",7,7,0,1,0,0,0,0,0,78570
"1887",8,7,0,1,1,1,1,0,0,53719
"1888",10,10,0,1,0,1,1,0,0,91761
"1889",10,10,0,0,0,0,0,0,0,95945
"1890",0,1,0,0,0,1,1,0,0,55433
"1891",8,9,0,1,1,0,0,0,0,30188
"1892",5,5,1,0,1,1,1,0,0,72704
"1893",4,4,0,1,1,1,1,0,0,10940
"1894",10,10,0,1,1,1,1,0,1,13324
"1895",7,6,0,0,1,1,0,1,0,72104
"1896",9,10,0,1,1,1,1,1,1,60626
"1897",4,4,0,0,0,1,1,1,0,92822
"1898",3,4,1,0,1,1,1,0,1,85546
"1899",0,0,1,0,0,0,1,0,0,2190
"1900",5,5,0,0,0,1,0,0,1,19134
"1901",5,5,0,1,1,1,1,1,0,27103
"1902",5,5,0,0,1,1,0,1,1,78250
"1903",0,0,1,0,1,1,1,1,0,79556
"1904",3,6,0,1,0,1,1,0,0,98391
"1905",8,7,0,1,0,1,1,1,1,53590
"1906",7,7,0,0,1,1,0,1,1,37076
"1907",7,8,0,1,0,1,1,0,0,18103
"1908",1,2,1,0,0,1,1,0,0,46580
"1909",3,6,0,1,1,1,0,1,0,49307
"1910",5,5,0,0,1,1,0,0,1,89142
"1911",6,6,0,1,0,1,0,1,0,12590
"1912",5,5,0,0,0,1,1,1,1,65804
"1913",5,4,0,0,0,1,1,0,1,70460
"1914",0,2,1,0,1,0,1,0,0,74501
"1915",0,2,0,0,1,0,1,0,0,60462
"1916",0,0,1,0,1,1,1,0,1,57788
"1917",2,1,0,0,0,1,1,1,1,30327
"1918",1,0,1,0,1,1,1,0,0,39367
"1919",8,8,0,1,1,1,0,0,1,68776
"1920",5,5,0,0,1,1,0,0,0,91722
"1921",5,5,0,0,0,1,0,1,1,91786
"1922",9,8,0,1,1,0,1,1,0,18104
"1923",7,6,0,1,1,1,1,0,0,28635
"1924",10,9,0,0,1,0,1,1,1,63125
"1925",8,7,0,1,0,1,1,1,1,19136
"1926",5,5,0,1,1,1,0,1,1,90001
"1927",9,9,0,1,0,1,1,0,0,53207
"1928",8,8,0,1,0,1,1,1,0,40351
"1929",6,6,1,0,1,1,1,0,0,19133
"1930",2,1,0,0,1,0,1,1,0,34668
"1931",1,2,0,1,0,1,1,1,1,1001
"1932",10,9,0,1,1,1,1,0,0,8057
"1933",4,5,NA,NA,1,0,0,0,0,32725
"1934",5,5,0,0,0,1,0,0,0,75254
"1935",0,0,0,0,0,1,1,0,1,37604
"1936",1,4,0,0,0,1,1,1,1,48359
"1937",6,8,NA,NA,1,1,1,0,0,4730
"1938",9,10,0,0,0,1,1,0,1,50316
"1939",7,8,0,1,0,1,0,1,1,96813
"1940",0,5,NA,NA,1,0,1,1,0,44011
"1941",10,10,0,0,1,1,1,1,0,89141
"1942",1,1,1,0,0,1,1,1,0,85122
"1943",6,6,0,0,0,1,0,1,1,29410
"1944",10,10,0,0,1,1,1,1,0,19947
"1945",0,0,0,0,0,1,1,1,0,89119
"1946",8,8,0,1,0,0,1,1,1,73003
"1947",2,5,0,0,0,0,1,0,0,18801
"1948",2,4,0,1,1,1,0,1,1,94112
"1949",10,10,0,1,1,1,1,1,0,5674
"1950",9,9,0,0,0,1,1,1,1,17111
"1951",0,0,1,0,1,1,1,1,1,71201
"1952",7,7,0,0,0,1,1,1,1,8215
"1953",10,10,0,0,0,1,1,0,0,48198
"1954",10,10,NA,NA,0,1,0,0,1,98125
"1955",9,10,0,0,1,1,0,0,0,22903
"1956",5,6,0,1,0,1,0,1,1,75044
"1957",5,10,0,0,1,1,1,1,0,1027
"1958",8,8,0,1,0,1,1,1,1,39157
"1959",7,7,0,1,0,1,0,1,1,32503
"1960",5,5,0,1,0,1,0,1,1,92154
"1961",9,9,1,0,1,1,1,1,0,16803
"1962",9,9,0,1,1,1,1,1,0,67212
"1963",5,5,0,1,1,1,0,1,1,19145
"1964",3,4,1,0,0,1,1,1,0,87112
"1965",1,3,0,0,1,1,1,0,0,75254
"1966",0,0,0,1,1,1,0,0,0,33410
"1967",7,7,0,1,1,0,1,0,0,62269
"1968",8,8,0,1,0,1,0,0,0,19135
"1969",10,10,0,1,1,1,1,0,0,60640
"1970",8,8,0,1,0,0,1,0,0,90034
"1971",10,10,0,1,1,1,0,1,1,33565
"1972",0,0,1,0,0,1,1,0,1,45044
"1973",10,10,0,0,0,1,0,0,1,30035
"1974",8,9,0,1,0,1,1,1,1,15217
"1975",9,9,0,0,1,1,1,0,0,83686
"1976",0,0,NA,NA,NA,NA,NA,NA,NA,NA
"1977",0,1,0,0,0,1,1,1,1,77904
"1978",7,7,0,1,1,1,1,0,0,93030
"1979",7,8,1,0,1,1,1,1,1,60148
"1980",9,9,0,1,1,0,1,0,0,56001
"1981",1,1,0,0,1,1,1,1,0,62694
"1982",7,5,0,1,1,0,0,1,1,98072
"1983",4,5,0,0,0,1,0,0,1,58504
"1984",1,1,0,0,0,1,1,0,0,15631
"1985",0,0,0,0,0,0,0,0,0,60185
"1986",5,5,0,1,1,1,1,1,1,30301
"1987",5,5,0,1,0,1,1,1,1,66109
"1988",4,3,0,1,1,1,1,1,0,29412
"1989",0,5,0,0,1,1,0,0,0,7863
"1990",3,6,1,0,0,1,0,0,0,72703
"1991",0,0,1,0,1,1,0,0,1,7731
"1992",9,9,0,0,0,1,0,1,1,80403
"1993",8,8,NA,NA,1,1,0,1,0,667
"1994",10,10,0,1,0,1,1,1,1,76108
"1995",10,10,0,1,1,1,1,1,0,76132
"1996",10,10,0,1,1,1,1,0,1,76039
"1997",4,5,0,1,1,0,0,0,0,77090
"1998",5,8,0,1,1,1,1,1,1,8085
"1999",8,8,0,1,0,1,0,1,1,53012
"2000",1,3,0,1,1,1,0,1,1,33428
"2001",0,1,0,0,1,1,1,1,0,98498
"2002",10,10,0,1,1,1,1,1,1,20866
"2003",0,1,1,0,1,1,1,0,0,63664
"2004",9,9,0,1,1,1,1,1,0,76262
"2005",3,3,0,0,0,1,1,0,0,78209
"2006",10,10,0,0,1,0,1,0,0,16801
"2007",1,2,1,0,0,1,0,0,0,91748
"2008",0,0,1,0,0,1,1,1,1,72112
"2009",8,8,0,0,0,1,0,0,1,60174
"2010",6,5,1,0,1,1,1,1,0,77077
"2011",2,2,0,0,0,1,1,1,1,89149
"2012",6,7,0,0,0,1,1,1,1,74047
"2013",9,9,NA,NA,1,1,1,1,1,48329
"2014",5,4,0,0,0,1,1,0,0,68007
"2015",0,0,0,0,0,1,1,0,0,34231
"2016",8,10,0,1,1,1,1,1,1,95405
"2017",10,10,NA,NA,1,0,1,1,0,22182
"2018",10,10,0,0,1,1,0,1,0,32514
"2019",0,0,1,0,1,1,1,1,1,75652
"2020",8,9,0,1,1,1,1,1,0,13108
"2021",2,2,0,1,1,1,1,1,0,14051
"2022",2,3,1,0,0,1,1,0,1,48419
"2023",10,10,NA,NA,1,1,0,0,1,74011
"2024",9,9,0,1,1,0,1,0,1,34747
"2025",0,1,0,1,0,1,1,1,0,2112
"2026",3,3,0,1,0,1,0,0,0,78550
"2027",7,9,0,1,0,1,0,1,1,11214
"2028",2,4,0,0,0,1,0,0,0,76002
"2029",9,9,0,1,0,1,0,1,0,32708
"2030",0,3,1,0,1,1,1,1,1,7863
"2031",5,6,0,1,0,0,0,0,0,28376
"2032",7,7,0,1,1,0,1,0,1,34655
"2033",4,2,0,0,1,0,1,0,0,92637
"2034",3,6,0,1,1,1,0,0,0,91746
"2035",2,2,1,0,1,1,1,0,1,48507
"2036",8,8,0,1,1,0,1,0,0,34243
"2037",0,0,0,0,0,1,1,0,1,95608
"2038",5,5,NA,NA,1,1,0,1,0,91733
"2039",1,0,0,0,1,0,1,0,1,99156
"2040",10,10,0,1,1,1,1,1,0,85282
"2041",4,4,0,0,0,1,1,0,1,43017
"2042",10,10,0,0,1,1,0,1,1,11238
"2043",2,2,0,1,1,1,1,0,0,60050
"2044",2,3,0,0,0,1,1,1,0,43212
"2045",0,0,1,0,0,1,1,1,1,68847
"2046",8,3,NA,NA,1,1,1,0,0,92407
"2047",7,10,0,0,0,1,0,0,0,92376
"2048",6,7,0,1,1,0,0,1,1,11375
"2049",0,1,0,1,0,0,1,0,0,66720
"2050",10,10,0,1,0,1,1,1,1,13090
"2051",7,8,0,1,0,1,1,1,0,6492
"2052",5,5,0,1,1,1,0,0,0,10453
"2053",4,4,1,0,0,1,1,0,1,55372
"2054",9,9,0,1,1,1,1,1,1,5489
"2055",4,4,1,0,1,1,1,1,0,45701
"2056",0,0,0,1,0,1,1,0,0,24892
"2057",2,2,0,0,1,0,1,0,0,90250
"2058",2,2,1,0,0,1,1,1,1,2461
"2059",3,2,0,0,1,1,1,0,0,93514
"2060",1,1,1,0,1,1,1,0,0,39503
"2061",10,10,NA,NA,1,0,1,1,1,8075
"2062",0,0,0,0,0,1,1,1,1,44107
"2063",7,9,0,0,0,1,1,0,0,45891
"2064",1,1,0,1,1,0,1,0,0,22980
"2065",2,2,1,0,1,1,1,0,1,88201
"2066",7,6,NA,NA,1,1,1,0,0,65625
"2067",6,7,0,1,1,1,1,1,1,44145
"2068",0,0,1,0,1,1,1,0,0,13440
"2069",0,0,0,0,0,1,0,0,0,34758
"2070",5,5,0,0,1,1,0,1,0,32801
"2071",5,5,0,0,0,1,0,0,0,80234
"2072",3,3,1,0,0,1,1,1,1,37421
"2073",5,5,0,0,0,1,0,0,0,34747
"2074",5,5,0,0,1,1,0,0,0,34759
"2075",0,0,NA,NA,0,1,1,1,0,15068
"2076",7,7,0,0,1,1,1,1,1,21012
"2077",2,1,0,0,0,1,1,1,1,75702
"2078",5,7,1,0,1,1,1,0,0,38637
"2079",1,2,0,0,0,1,0,0,0,10037
"2080",4,4,0,0,1,0,0,1,NA,70003
"2081",5,0,NA,NA,0,1,1,1,0,79015
"2082",8,10,0,1,0,1,1,0,1,26726
"2083",10,10,0,1,1,1,1,1,0,44107
"2084",3,3,0,0,1,1,1,1,0,32168
"2085",0,0,NA,NA,1,1,1,1,0,33881
"2086",9,10,0,1,1,1,1,1,0,32771
"2087",10,10,0,1,1,1,1,1,1,32301
"2088",10,10,0,1,0,0,1,0,0,45225
"2089",5,5,0,0,0,1,1,1,1,14845
"2090",8,8,0,0,1,1,1,1,0,2135
"2091",3,5,0,1,0,0,1,0,0,87553
"2092",10,10,0,1,1,1,1,0,1,75214
"2093",0,0,1,0,1,1,1,1,1,84721
"2094",7,6,0,0,1,1,1,1,1,78212
"2095",10,10,0,0,0,1,1,0,0,32563
"2096",1,2,0,1,0,1,1,1,1,55068
"2097",6,7,NA,NA,0,1,0,0,0,85224
"2098",1,1,0,0,1,0,1,1,0,77351
"2099",6,7,0,1,1,1,0,1,1,39212
"2100",7,7,0,1,0,0,0,0,0,50459
"2101",3,3,0,0,0,1,1,1,1,6516
"2102",8,7,0,0,1,1,1,0,0,65803
"2103",5,5,1,0,0,1,1,1,1,16046
"2104",9,9,0,1,1,1,0,1,0,55440
"2105",9,9,0,0,1,1,1,0,1,47275
"2106",3,5,0,1,1,1,1,0,0,33710
"2107",5,5,0,0,1,1,0,0,0,85008
"2108",0,0,0,0,1,0,1,0,0,76116
"2109",10,10,0,1,1,1,1,1,0,32311
"2110",9,10,0,1,0,1,1,0,0,22407
"2111",2,1,0,0,1,1,1,0,1,1234
"2112",8,8,NA,NA,1,1,0,1,1,95503
"2113",9,9,0,1,0,0,0,1,0,24078
"2114",3,3,0,1,1,1,1,1,1,93555
"2115",3,3,0,0,0,0,1,1,0,16501
"2116",8,8,0,0,1,1,0,0,0,72034
"2117",10,10,0,1,0,1,1,0,1,11201
"2118",10,10,0,0,0,1,1,0,0,8302
"2119",10,10,0,1,0,1,1,1,1,40353
"2120",8,7,0,1,1,1,1,1,1,27106
"2121",9,9,0,1,0,1,1,1,1,45419
"2122",10,10,0,1,0,1,1,0,0,62526
"2123",6,6,0,0,0,1,1,0,0,47112
"2124",9,9,0,1,1,1,1,1,1,95476
"2125",0,1,1,0,0,1,1,0,0,71433
"2126",0,0,0,0,0,0,1,0,0,97527
"2127",6,6,NA,NA,0,1,0,1,1,2921
"2128",0,0,1,0,1,1,1,0,1,32940
"2129",3,7,0,1,0,1,0,0,0,77021
"2130",2,3,1,0,1,1,1,1,0,14221
"2131",3,4,0,0,1,1,0,1,0,2115
"2132",9,9,NA,NA,0,1,1,1,0,27517
"2133",7,7,NA,NA,0,0,1,0,0,85743
"2134",7,7,0,0,1,0,1,0,0,84098
"2135",10,10,0,1,1,1,1,0,0,4951
"2136",2,3,0,0,0,1,0,1,1,19104
"2137",8,8,0,1,1,1,1,1,1,29403
"2138",4,4,1,0,0,1,1,0,1,47803
"2139",0,0,1,0,1,1,1,0,1,60081
"2140",2,2,1,0,1,1,1,0,0,29672
"2141",6,6,0,0,0,1,1,1,0,29488
"2142",7,6,0,1,0,1,1,0,0,98373
"2143",10,10,0,0,1,0,1,0,0,46501
"2144",10,10,0,1,1,1,1,1,1,18067
"2145",1,4,0,0,0,1,1,1,1,71105
"2146",8,9,0,0,1,0,1,1,0,37618
"2147",6,6,0,0,0,1,1,0,0,99201
"2148",0,0,0,0,1,1,1,0,1,44137
"2149",0,0,0,0,0,1,1,1,1,44446
"2150",10,10,0,1,1,1,1,1,0,5086
"2151",6,7,0,1,1,0,1,0,0,31313
"2152",8,8,0,1,0,1,0,1,1,92886
"2153",6,7,0,1,0,1,0,1,1,91789
"2154",0,1,0,0,1,1,1,0,0,1420
"2155",6,6,1,0,0,1,1,1,1,97224
"2156",3,2,1,0,1,0,1,0,0,17834
"2157",2,2,1,0,1,1,1,1,1,90403
"2158",5,5,0,0,1,1,0,0,0,33311
"2159",2,3,0,1,0,0,1,0,0,72701
"2160",0,0,1,0,1,1,1,0,0,19149
"2161",8,8,0,0,1,1,1,1,1,86001
"2162",2,3,0,0,0,1,1,0,1,55119
"2163",4,3,0,1,1,1,0,1,1,30016
"2164",2,3,0,1,0,1,1,0,0,33540
"2165",1,2,0,1,0,1,1,0,0,68506
"2166",3,7,0,1,1,1,1,1,0,84320
"2167",1,0,0,0,1,1,0,1,1,78711
"2168",8,8,0,1,1,0,0,0,0,78070
"2169",9,10,0,1,1,1,0,1,1,33311
"2170",6,9,0,1,0,1,1,0,0,17601
"2171",6,5,0,0,1,1,0,0,1,92377
"2172",0,0,1,0,0,1,1,0,0,17111
"2173",3,3,1,0,1,1,1,1,0,26201
"2174",10,9,1,0,0,1,1,0,0,30022
"2175",10,10,0,1,0,1,1,1,0,55110
"2176",8,6,0,0,0,1,0,0,0,11201
"2177",3,4,0,0,1,1,0,1,1,94536
"2178",9,9,0,1,1,1,1,1,0,76209
"2179",2,0,1,0,0,1,1,0,0,14624
"2180",6,4,0,1,1,1,0,0,0,77036
"2181",2,2,0,0,0,1,1,1,1,61761
"2182",5,3,NA,NA,1,1,0,0,0,63111
"2183",0,0,1,0,1,1,1,0,1,12838
"2184",6,4,0,1,1,1,1,0,0,48088
"2185",1,10,0,1,1,1,1,1,0,61756
"2186",5,5,0,1,1,0,1,1,1,60585
"2187",8,8,0,1,1,1,1,1,1,97213
"2188",5,5,NA,NA,1,1,1,1,0,8857
"2189",5,5,0,0,1,1,1,0,1,36867
"2190",1,1,0,0,1,1,1,1,0,27606
"2191",2,10,0,1,0,1,1,0,0,26040
"2192",7,9,0,1,0,1,1,0,0,92008
"2193",6,6,1,0,0,1,1,1,0,24502
"2194",7,7,0,1,1,1,0,0,0,33142
"2195",8,8,0,1,1,1,1,0,0,78245
"2196",3,3,0,0,1,1,1,0,0,50658
"2197",10,10,0,1,0,1,1,1,0,77510
"2198",6,6,0,1,0,1,1,0,0,97229
"2199",8,8,0,1,0,1,1,0,0,91761
"2200",1,1,1,0,0,1,0,0,0,74066
"2201",7,7,0,0,0,1,1,1,0,44113
"2202",5,5,0,0,1,1,1,1,0,77568
"2203",3,3,1,0,0,1,1,1,1,85543
"2204",6,7,1,0,0,1,1,1,1,46741
"2205",6,6,0,1,1,0,1,1,0,70817
"2206",7,7,0,1,0,1,1,0,0,47904
"2207",1,1,1,0,0,1,0,1,0,94806
"2208",8,8,0,0,0,1,0,1,1,76006
"2209",8,9,0,1,0,1,1,1,1,55104
"2210",10,10,0,1,1,1,0,0,0,63301
"2211",7,7,0,1,1,1,0,0,1,34741
"2212",4,6,0,1,1,0,1,0,0,48859
"2213",6,6,0,1,0,1,1,1,0,18103
"2214",3,3,1,0,1,1,0,1,1,85048
"2215",5,5,0,1,1,0,1,1,1,95834
"2216",9,10,0,1,1,1,1,1,0,60453
"2217",2,1,0,0,0,1,0,1,0,7203
"2218",10,10,0,0,1,1,1,1,1,34786
"2219",10,10,0,1,0,1,1,0,1,52501
"2220",3,6,0,1,1,0,0,0,0,40219
"2221",8,7,0,1,1,1,0,1,1,94301
"2222",10,10,0,1,0,1,1,1,1,92692
"2223",0,0,0,1,0,1,0,1,1,94145
"2224",9,9,0,1,1,1,0,0,0,46148
"2225",3,4,0,1,0,1,1,1,0,15853
"2226",7,8,0,1,0,1,0,1,0,10007
"2227",4,4,0,0,1,1,1,0,0,8015
"2228",8,7,0,1,0,1,1,1,1,10001
"2229",4,6,1,0,0,1,1,1,0,29615
"2230",7,8,0,0,1,1,1,1,1,53066
"2231",1,2,0,1,1,1,1,0,0,18518
"2232",2,3,0,0,1,1,1,0,1,48473
"2233",6,8,0,1,1,0,1,1,1,21113
"2234",10,10,0,1,1,0,1,1,0,4210
"2235",0,2,0,0,1,1,0,1,0,21239
"2236",1,2,0,1,0,1,1,0,0,38133
"2237",5,5,1,0,1,1,1,1,1,78734
"2238",0,0,1,0,0,1,1,1,1,61073
"2239",2,1,1,0,0,1,1,0,0,28304
"2240",0,2,1,0,1,1,1,0,0,17830
"2241",8,8,0,0,0,1,1,0,1,76006
"2242",10,10,0,1,1,1,0,1,0,22408
"2243",0,0,1,0,1,1,1,0,1,37379
"2244",2,3,0,0,0,1,1,1,1,15208
"2245",7,9,0,1,1,1,1,1,0,44130
"2246",7,4,0,1,1,1,0,0,1,3266
"2247",4,5,1,0,0,1,1,1,1,20878
"2248",0,0,0,0,0,1,1,0,0,79904
"2249",8,6,0,1,0,1,0,1,1,19038
"2250",9,8,0,1,1,1,0,1,1,27215
"2251",8,9,0,0,1,0,1,0,0,93725
"2252",2,2,1,0,1,1,1,1,1,33776
"2253",8,8,0,0,0,1,1,1,1,90026
"2254",8,8,0,1,0,1,1,1,1,60060
"2255",0,0,1,0,1,1,1,1,0,30121
"2256",0,1,1,0,0,0,1,0,0,74344
"2257",8,6,0,1,0,1,1,1,1,80602
"2258",8,6,0,0,0,1,0,0,1,70535
"2259",0,1,0,0,1,1,1,0,0,44657
"2260",1,1,0,0,0,1,1,1,0,47701
"2261",0,0,1,0,0,0,1,0,0,18510
"2262",5,5,1,0,1,1,1,0,0,43311
"2263",0,0,1,0,0,1,1,1,1,38671
"2264",0,1,1,0,0,1,1,1,1,15126
"2265",7,8,0,0,1,1,1,0,1,92653
"2266",6,6,0,1,0,0,0,0,0,32816
"2267",8,8,0,1,1,1,1,0,0,20774
"2268",4,5,0,0,1,1,1,1,0,36609
"2269",3,3,0,0,1,1,1,0,0,1746
"2270",8,8,0,0,1,1,0,1,1,17013
"2271",9,10,0,1,0,1,0,1,0,32809
"2272",2,2,0,1,0,1,1,0,0,23231
"2273",3,7,1,0,0,1,1,1,1,90001
"2274",0,0,1,0,0,1,1,0,1,13209
"2275",9,9,0,0,0,0,1,0,0,43202
"2276",7,7,0,0,0,1,1,1,1,48202
"2277",4,3,0,1,1,1,0,1,0,44109
"2278",0,0,1,0,1,1,1,1,0,62510
"2279",5,5,1,0,0,1,1,0,0,75220
"2280",7,7,0,1,1,1,0,0,1,32726
"2281",0,0,0,0,0,0,1,0,0,81001
"2282",2,3,0,1,1,1,0,1,0,60443
"2283",3,3,1,0,1,0,1,0,1,92139
"2284",4,5,1,0,0,0,1,0,0,85208
"2285",0,0,0,0,0,1,0,1,1,38655
"2286",2,3,1,0,1,0,1,0,0,24747
"2287",5,4,NA,NA,0,0,1,0,0,33710
"2288",2,2,1,0,0,1,1,1,0,15229
"2289",4,NA,1,0,1,1,1,1,1,38104
"2290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2293",8,8,0,1,1,1,1,0,1,84096
"2294",NA,NA,1,0,0,1,1,1,1,8094
"2295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2296",NA,5,0,0,0,0,1,1,0,42171
"2297",NA,2,1,0,1,0,1,0,1,68064
"2298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2303",2,NA,0,1,1,1,1,1,0,53144
"2304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2305",0,1,1,0,1,1,1,1,0,78610
"2306",NA,10,0,0,1,1,0,0,0,46902
"2307",NA,7,0,0,1,1,0,0,1,30041
"2308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2309",NA,7,0,1,1,1,1,1,0,5660
"2310",NA,NA,NA,NA,0,1,0,0,0,23730
"2311",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2312",0,NA,1,0,1,1,1,0,1,40324
"2313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2315",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2316",0,NA,1,0,0,1,1,0,0,33413
